题目,答案要点,难度,相关岗位,标签,题目类型
common.js和es6中模块引入的区别？,CommonJS主要用于Node.js环境，使用require函数引入模块、module.exports导出模块，支持动态引入（可在函数体、条件语句中引入），采用同步加载方式，导出的是值的拷贝（引用类型修改属性会反映在所有引用处）；ES6模块是ECMAScript标准的一部分，使用import和export语法，为静态引入（必须在文件顶部声明，编译时确定依赖），浏览器中异步加载，导出的是值的引用（导出模块值变化会同步到引用处）。CommonJS和ES6模块可通过Babel、Webpack等工具实现互操作，前者适配Node.js，后者更适合现代前端开发。,3,web前端开发,ES6、Webpack、Babel、let,技术知识
Map 和 Set 的用法以及区别？,Map是键值对结构，键可以是字符串或对象，常用方法有set（添加键值对）、has（判断键是否存在）、get（获取键对应值）、delete（删除键值对），一个键只能对应一个值，后续赋值会覆盖前者；Set类似数组且成员值唯一，常用于数组去重，常用方法有add（添加元素）、delete（删除元素）、has（判断元素是否存在），初始化需一维数组。二者查找速度都极快，Set执行效率略高；Map初始化需二维数组，Set需一维数组；都不允许键/值重复；Map键不可改但值可改，Set的值就是键，无法通过迭代器修改；Map是键值对形式，Set仅有键（值即键）。,2,web前端开发,ES6、let、var、Map、Set,技术知识
es5 中的类和es6中的class有什么区别？,ES5通过构造函数和原型方式定义类，可直接执行，存在变量提升，遍历实例时能获取原型链上的属性和方法；ES6的class必须通过new调用，直接执行会报错，不存在变量提升，遍历实例无法获取原型链上的属性和方法。ES6的class有new.target属性，可检测是否通过new调用，还支持static静态方法，静态方法只能通过类调用，this指向类，静态属性和方法不可被子类继承。,3,web前端开发,ES6、原型链、变量提升、Reflect,技术知识
你是怎么理解ES6中 Decorator 的？使用场景有哪些？,ES6的Decorator即装饰器，本质是普通函数，遵循装饰者模式，能在不改变原类和不使用继承的情况下动态扩展对象功能，可装饰类或类属性。装饰类时接收类本身作为参数，也可封装外层函数传递参数；装饰类属性时接收类的原型对象、属性名、属性描述对象，多个装饰器执行顺序为从外到内进入、从内到外执行，且不能修饰函数（因函数变量声明特性）。使用场景包括简化react-redux的connect调用、实现mixins功能，还可借助core-decorators.js中的@autobind（绑定方法this到原始对象）、@readonly（设置属性/方法不可写）、@deprecate（提示方法废除）等装饰器优化代码。,2,web前端开发,ES6、装饰器、class、继承,技术知识
你是怎么理解ES6中Module的？使用场景有哪些？,ES6的Module是语言标准层面的模块化方案，可取代CommonJS和AMD，其设计思想是静态化，编译时确定依赖关系和输入输出变量。模块通过export规定对外接口，import输入其他模块功能，export default可指定默认输出，还支持动态加载（import()返回Promise）、复合写法（先输入后输出同一模块）。ES6模块内部自动启用严格模式，输入的变量只读（对象属性可改），重复导入仅执行一次。使用场景广泛，现代前端框架如Vue、React的组件化开发均依赖模块化，复杂应用也可拆分为多个模块提升可维护性。,3,web前端开发,ES6、作用域、接口、模块化,技术知识
你是怎么理解ES6中Proxy的？使用场景有哪些？,"ES6的Proxy用于定义对象基本操作的自定义行为，属于元编程，通过new Proxy(target, handler)生成实例，target是拦截的目标对象，handler包含拦截操作的函数（如get拦截属性读取、set拦截属性赋值、deleteProperty拦截删除操作等）。可借助Reflect在Proxy内部调用对象默认行为，Reflect提供了与Proxy拦截方法对应的静态方法，让Object操作更合理、更具函数化。使用场景包括保障数据类型准确性、限制私有属性的访问和修改、实现观察者模式（监听对象变化自动执行函数）等，能拦截和监视对象访问，降低函数或类的复杂度，校验复杂操作。",3,web前端开发,ES6、Object.defineProperty、Proxy、Reflect,技术知识
怎么理解ES6中 Generator的？使用场景有哪些？,ES6的Generator函数是异步编程解决方案，执行后返回遍历器对象，可遍历内部每个状态。形式上是普通函数，function与函数名间有星号，内部用yield表达式定义状态，yield可暂停遍历器对象状态，next方法可恢复执行并传递参数（作为上一个yield的返回值），遍历器对象也可通过for...of遍历。Generator可解决异步编程中的回调地狱问题，相比回调函数和Promise，能更灵活地控制异步流程，还可为原生无遍历接口的对象添加遍历能力，适用于需要分步执行、手动控制流程的异步场景。,3,web前端开发,ES6、Promise、Generator、Iterator,技术知识
你是怎么理解ES6中 Promise的？使用场景有哪些？,ES6的Promise是异步编程解决方案，用于解决回调地狱问题，代表一个异步操作的最终完成（或失败）及其结果值。Promise有三种状态：pending（进行中）、fulfilled（已成功）、rejected（已失败），状态一旦改变便不可逆，通过resolve将状态转为成功，reject转为失败，可通过then方法处理成功结果，catch方法捕获错误，finally方法执行无论成功失败都需运行的逻辑。使用场景包括文件读取、网络请求（如AJAX/fetch）、定时器异步操作等，能将嵌套的回调函数转为链式调用，提升异步代码的可读性和可维护性，还可通过Promise.all、Promise.race等方法处理多个异步操作。,3,web前端开发,ES6、Promise、const、JSON,技术知识
ES6中新增的Set、Map两种数据结构怎么理解？,Set是类似数组的有序集合，成员值唯一无重复，初始化接收一维数组，核心能力是快速去重和存在性检测，常用方法有add、delete、has，遍历速度极快，其值本身就是键，无法通过迭代器修改值；Map是键值对集合，键可以是任意类型（包括对象），初始化接收二维数组，常用方法有set、get、has、delete，一个键仅对应一个值，后续赋值会覆盖，键不可修改但值可修改，查找和操作效率远高于普通对象，弥补了普通对象键只能是字符串/符号的不足。二者都属于高性能的数据结构，适用于需要快速查找、去重、键值对存储的场景。,2,web前端开发,ES6、this、let、const,技术知识
ES6中函数新增了哪些扩展？,ES6对函数的扩展包括：允许为函数参数设置默认值，参数默认值可与解构赋值结合使用；引入rest参数（...变量名），用于获取函数的多余参数，替代arguments对象，rest参数是真正的数组，可使用数组方法；扩展了箭头函数，箭头函数语法简洁，this指向定义时所在的作用域（而非调用时），没有自己的this、arguments、super、new.target，不能作为构造函数使用；函数的name属性返回函数名，修正了ES5中匿名函数name属性为空的问题；允许函数体内使用yield表达式（Generator函数），实现分步执行；此外，还优化了函数的尾调用，尾调用优化可节省内存，提升递归函数的性能。,2,web前端开发,ES6、作用域、let、const,技术知识
ES6中对象新增了哪些扩展？,ES6对对象的扩展包含多方面：简化对象字面量写法，属性名与变量名相同时可省略值，方法可省略function关键字；新增Object.assign方法，用于将一个或多个源对象的可枚举属性复制到目标对象，实现浅拷贝；引入对象的解构赋值，可快速从对象中提取属性；新增Object.is方法，解决了ES5中===运算符NaN不等于自身、+0和-0相等的问题，更精准判断两个值是否严格相等；扩展了对象的遍历方式，可通过Object.keys/values/entries获取键、值、键值对数组，配合for...of遍历；允许通过__proto__属性（或Object.setPrototypeOf/Object.getPrototypeOf）设置/获取对象原型；还新增了对象的扩展运算符（...），可复制对象属性或合并对象，同样为浅拷贝。,2,web前端开发,ES6、浅拷贝、Symbol、枚举,技术知识
ES6中数组新增了哪些扩展？,ES6为数组新增了多项实用功能：扩展运算符（...）可将数组转为用逗号分隔的参数序列，用于数组拷贝、合并、解构赋值，还能将类数组对象转为真正的数组；新增Array.from方法，将类数组对象和可迭代对象转为数组，还可接收第二个参数实现映射转换；Array.of方法用于创建数组，解决了Array构造函数传入不同参数时的行为不一致问题（如Array(3)创建长度为3的空数组，Array.of(3)创建[3]）；数组实例新增find和findIndex方法，find返回第一个满足条件的元素，findIndex返回其索引，弥补了indexOf无法查找NaN的不足；新增includes方法，判断数组是否包含指定元素，同样能识别NaN；还有fill方法（填充数组）、entries/keys/values方法（返回遍历器对象，遍历键值对/键/值）、flat和flatMap方法（扁平化数组）。,2,web前端开发,ES6、箭头函数、Map,技术知识
JavaScript中的简单数据类型有哪些？,JavaScript中的简单数据类型（基本数据类型）包括String（字符串）、Number（数值，包含整数、浮点数、NaN、Infinity）、Boolean（布尔值，true和false）、Null（空值，表示空对象指针）、Undefined（未定义，变量声明未赋值时的默认值）、Symbol（ES6新增，表示唯一且不可变的值，用于避免属性名冲突），此外ES11新增了BigInt类型，用于表示任意大的整数，也归为简单数据类型。简单数据类型的值存储在栈内存中，按值访问，赋值时会创建值的副本。,3,web前端开发,ES6、Symbol,技术知识
var、let、const之间有什么区别？,var声明的变量存在变量提升，作用域为函数作用域，可重复声明且能修改值，在全局作用域中声明的var变量会挂载到window对象上；let声明的变量不存在变量提升，有暂时性死区，作用域为块级作用域，不可重复声明，能修改值，全局声明的let变量不会挂载到window；const同样基于块级作用域，无变量提升、有暂时性死区、不可重复声明，用于声明常量，声明时必须初始化，且指向的内存地址不可修改（对于基本类型值不可变，对于引用类型，仅保证引用地址不变，属性/元素可修改）。,3,web前端开发,ES6、作用域、变量提升、暂时性死区、let,技术知识
ES6有哪些新特性？,ES6新增了众多特性：语法层面包括let/const块级作用域、箭头函数、模板字符串（支持插值和多行文本）、解构赋值（数组和对象）、扩展运算符；模块化方面引入import/export模块系统；数据结构新增Set、Map、Symbol、WeakSet、WeakMap；函数扩展有参数默认值、rest参数、尾调用优化、Generator函数；对象扩展包含简洁语法、Object.assign、Object.is、原型操作方法、扩展运算符；异步编程新增Promise、Generator函数，后续ES7的async/await也基于ES6扩展；还新增了Class类语法、Proxy代理、Reflect反射、Iterator迭代器、for...of遍历等，全面提升了JavaScript的语言能力和开发效率。,2,web前端开发,ES6、作用域、模板字符串、暂时性死区,技术知识
如何把一个对象变成可迭代对象？,要将对象转为可迭代对象，需为其部署Iterator接口（即添加Symbol.iterator方法），该方法返回一个遍历器对象，遍历器对象需包含next方法，next方法返回有value（当前值）和done（是否遍历完成）属性的对象。可通过在对象的原型上或自身定义Symbol.iterator方法，比如借助Generator函数简化遍历器的实现，在Symbol.iterator方法中使用yield表达式逐个返回对象的属性或值，使对象能被for...of、扩展运算符等可迭代消费的语法处理。,2,web前端开发,ES6、作用域、箭头函数、Iterator,技术知识
"说说你对 Iterator, Generator 和 Async/Await 的理解",Iterator（迭代器）是ES6为可迭代对象（数组、Set、Map等）提供的遍历机制，核心是Symbol.iterator方法，返回的遍历器对象通过next方法逐步获取数据，实现了统一的遍历接口；Generator函数是异步编程方案，执行返回迭代器对象，通过yield暂停执行、next恢复执行，能分步控制流程，其本质是迭代器生成器，可简化迭代器的实现；Async/Await是基于Generator和Promise的语法糖，async函数返回Promise，await可暂停async函数执行，等待Promise状态变更后恢复，相比Generator更简洁，无需手动调用next，且内置错误处理，使异步代码写法接近同步代码，三者层层递进，Iterator是基础遍历机制，Generator扩展了迭代器用于异步，Async/Await优化了Generator的异步体验。,5,web前端开发,ES6、Generator、Iterator、Symbol、async/await,技术知识
Map 和 WeakMap 有什么区别？,Map的键可以是任意类型（包括对象），键值对会被强引用，即使键对应的对象被外部销毁，Map仍会保留该键值对，可能导致内存泄漏，可通过size属性获取长度，支持forEach遍历、clear清空，能遍历所有键值对；WeakMap的键只能是对象（不包括null），键对对象是弱引用，若外部无其他强引用，键对象会被垃圾回收，对应的键值对也会自动移除，WeakMap无size属性，不支持遍历（forEach、for...of）和clear方法，仅提供set、get、has、delete方法，适用于临时关联对象数据、避免内存泄漏的场景。,3,web前端开发,ES6、原型链、垃圾回收、Symbol、WeakMap,技术知识
说说你对 new.target 的理解,new.target是ES6为函数新增的属性，用于检测函数是否通过new关键字（或Reflect.construct）调用：若函数作为构造函数通过new调用，new.target指向该构造函数；若普通调用函数，new.target为undefined；在Class的构造函数中，new.target指向当前Class，若Class被继承，子类构造函数中的new.target指向子类。可利用new.target强制函数必须通过new调用，也可在父类构造函数中判断new.target实现抽象类（禁止直接实例化父类），或区分构造函数的调用方式。,2,web前端开发,ES6,技术知识
async/await 怎么进行错误处理？,async/await的错误处理可通过try/catch块实现，将await包裹的异步操作放入try中，catch捕获Promise的reject错误或代码执行异常；若有多个await操作，可将其放在同一try中统一捕获，或分别包裹try/catch单独处理；也可在await的Promise后手动调用catch方法捕获单个异步操作的错误，避免影响后续代码；对于未捕获的错误，可通过async函数返回的Promise的catch方法兜底处理，确保异步错误不被遗漏，同时保持代码的可读性，使错误处理逻辑与同步代码一致。,3,web前端开发,ES6、Promise、async/await、const,技术知识
说说对 ES6 中rest参数的理解,ES6的rest参数（形式为...变量名）用于获取函数的多余参数，替代arguments对象，rest参数是真正的数组，可直接使用数组的map、filter等方法，而arguments是类数组对象需转换；rest参数只能作为函数最后一个参数，其后不能有其他参数，且仅能声明一个；rest参数不仅适用于函数参数，还可用于数组和对象的解构赋值，提取剩余的元素/属性，相比arguments更灵活、语义更清晰，提升了处理不定参数的代码可读性和易用性。,2,web前端开发,ES6、箭头函数、let、const,技术知识
箭头函数的 this 指向哪⾥？,箭头函数没有自己的this绑定，其this指向定义时所在的作用域（词法作用域）的this，而非调用时的this。具体来说，箭头函数的this由外层普通函数或全局作用域的this决定，若外层无普通函数，全局环境中箭头函数的this在浏览器指向window，Node.js中指向global（ES6模块中为undefined）。箭头函数的this一旦确定便无法改变，call、apply、bind方法也无法修改其this指向，这一特性使其适合处理异步回调中this丢失的问题。,3,web前端开发,ES6、箭头函数、Babel、this,技术知识
如果new一个箭头函数会怎么样？,箭头函数不能作为构造函数使用，若尝试new箭头函数会抛出TypeError错误。原因是箭头函数没有[[Construct]]内部方法（普通函数和Class有该方法，用于new实例化），也没有自己的this、prototype属性（箭头函数的prototype为undefined），无法完成实例化的关键步骤：创建新对象、绑定this到新对象、将新对象的原型指向构造函数prototype、执行构造函数、返回新对象，因此new箭头函数不符合构造函数的执行逻辑，会触发错误。,2,web前端开发,ES6、箭头函数,技术知识
object.assign和扩展运算法是深拷贝还是浅拷贝，两者区别是什么？,Object.assign和扩展运算符（...）均为浅拷贝：对于基本类型属性，复制值；对于引用类型属性，仅复制引用地址，修改新对象的引用类型属性会影响原对象。二者区别在于：Object.assign是方法，接收目标对象和多个源对象，将源对象可枚举属性复制到目标对象并返回目标对象，可用于合并多个对象，且会忽略值为undefined的属性；扩展运算符是语法，通过...展开对象属性，创建新对象或合并对象，写法更简洁，展开过程中可灵活添加/修改属性，且能处理Symbol属性，Object.assign也能复制Symbol属性，但扩展运算符在解构和合并场景下更直观，二者均无法实现嵌套对象的深拷贝，需借助递归或第三方库完成深拷贝。,2,web前端开发,ES6、深拷贝、浅拷贝、Symbol,技术知识
谈谈 Object.defineProperty 与 Proxy 的区别？,Object.defineProperty只能拦截对象的单个属性（需遍历对象逐个设置），支持的拦截操作有限（主要是get、set），无法拦截属性的新增、删除，也不能拦截数组的下标赋值、length修改等操作；Proxy是针对整个对象的代理，支持十余种拦截操作（如has、deleteProperty、construct等），能拦截属性的新增、删除、数组操作，功能更全面。Object.defineProperty兼容性更好（支持ES5），但使用繁琐；Proxy是ES6新增，兼容性稍差，但其非侵入式（无需修改原对象），能代理整个对象，且返回新的代理对象，更适合复杂的拦截场景，Vue2使用Object.defineProperty实现响应式，Vue3改用Proxy提升了响应式的全面性。,3,web前端开发,ES6、Object.defineProperty、双向绑定、Proxy,技术知识
ES6中的 Reflect 对象有什么用？,Reflect是ES6新增的内置对象，其设计目的是整合Object的零散方法，将原本属于Object的一些操作（如属性读取、赋值、删除、枚举）转移到Reflect上，且以静态方法形式存在，使操作更规范；Reflect的方法与Proxy的拦截方法一一对应，便于在Proxy中调用对象的默认行为，保持原逻辑完整性；Reflect修改了部分Object方法的返回值，使其更合理（如Reflect.defineProperty失败返回false，而非抛出错误）；Reflect让Object操作更具函数化（如Reflect.has对应in运算符），统一了操作接口，提升了代码的可读性和可维护性，还支持函数调用的this绑定（Reflect.apply），补充了原有语法的不足。,3,web前端开发,ES6、Object.defineProperty、Proxy、Reflect,技术知识
简单介绍下 ES6 中的 Iterator 迭代器,Iterator（迭代器）是ES6为解决不同数据结构遍历统一问题提出的机制，所有可迭代对象（数组、Set、Map、字符串等）都部署了Symbol.iterator方法，该方法执行返回迭代器对象。迭代器对象核心是next方法，每次调用next返回包含value（当前遍历值）和done（布尔值，标识是否遍历完成）的对象，当done为true时遍历结束。Iterator实现了不同数据结构的统一遍历接口，使for...of循环、扩展运算符、解构赋值等语法能通用处理可迭代对象，开发者也可手动为对象部署Symbol.iterator方法，使其成为可迭代对象。,3,web前端开发,ES6、原型链、Iterator、Symbol,技术知识
如何中断Promise？,Promise一旦创建无法直接中断其执行，但可通过间接方式实现类似中断的效果：一是利用Promise.race方法，将目标Promise与一个可控制的Promise（如通过定时器或手动resolve/reject的Promise）放入race，触发控制Promise的状态，使race返回的Promise提前结束，忽略原Promise的结果；二是在Promise的回调中添加条件判断，满足中断条件时不执行后续逻辑；三是使用第三方库（如Bluebird）提供的cancel方法，或封装Promise时设计取消逻辑，通过标记变量控制回调执行，本质上是忽略Promise的结果而非真正中断其异步操作，因为Promise的状态一旦改变就不可逆。,3,web前端开发,ES6、变量提升、Promise、let,技术知识
箭头函数和普通函数有啥区别？箭头函数能当构造函数吗？,箭头函数与普通函数的区别体现在：this指向方面，箭头函数的this绑定定义时的外层作用域this，普通函数this指向调用时的上下文；箭头函数无自身的arguments、super、new.target，普通函数有；箭头函数不能作为构造函数，普通函数可以；箭头函数无prototype属性，普通函数有；箭头函数语法更简洁，适用于简短回调，普通函数写法更灵活；箭头函数不能使用yield（非Generator函数），普通函数（Generator）可以。箭头函数因无[[Construct]]方法和prototype属性，无法通过new调用，若尝试new箭头函数会抛出TypeError，因此不能作为构造函数。,4,web前端开发,ES6、作用域链、作用域、箭头函数,技术知识
symbol 有什么用处？,Symbol是ES6新增的基本数据类型，其值唯一且不可变，主要用于避免对象属性名冲突，比如为对象添加唯一的私有属性（外部无法通过相同字符串获取）；可作为对象的属性名，且不会被Object.keys、for...in等遍历方法枚举（需用Object.getOwnPropertySymbols获取）；还可定义知名符号（如Symbol.iterator、Symbol.toStringTag），用于扩展对象的原生行为，比如部署Symbol.iterator使对象可迭代，修改Symbol.toStringTag自定义对象的toString返回值；此外，Symbol.for可创建全局共享的Symbol，Symbol.keyFor可获取全局Symbol的键，满足跨模块共享唯一标识的需求。,3,web前端开发,ES6、Symbol,技术知识
async/await 和 Promise 有什么关系？,async/await是基于Promise的语法糖，完全依赖Promise实现：async函数执行后返回一个Promise对象，其返回值会被包装为Promise的resolve值，抛出的错误会被包装为reject值；await关键字后必须跟Promise对象（若为非Promise值会自动转为resolved状态的Promise），await会暂停async函数执行，等待Promise状态变为fulfilled后恢复执行并返回结果，若Promise被reject则需通过try/catch捕获错误。async/await简化了Promise的链式调用，使异步代码写法接近同步代码，其底层仍通过Promise的异步机制实现，同时兼容Promise的所有方法（如Promise.all、Promise.race），可看作Promise的更高级封装。,3,web前端开发,ES6、Promise、Generator、async/await,技术知识
